variant,arm,outcome,spec,n,status,cook_threshold,n_cook_gt_4_over_n,cook_gt_4_over_n_buildings
robust_exclusion,raw_lidar,val3dity_valid,attributes_only,175,ok,0.022857,11,DEBY_LOD2_108250120;DEBY_LOD2_108580336;DEBY_LOD2_42364607;DEBY_LOD2_42364665;DEBY_LOD2_4906965;DEBY_LOD2_4906967;DEBY_LOD2_4906980;DEBY_LOD2_4907506;DEBY_LOD2_4907514;DEBY_LOD2_4908159;DEBY_LOD2_4959753
robust_exclusion,raw_lidar,val3dity_valid,observation_only,176,ok,0.022727,15,DEBY_LOD2_108250120;DEBY_LOD2_108580336;DEBY_LOD2_42364607;DEBY_LOD2_4906965;DEBY_LOD2_4906967;DEBY_LOD2_4906998;DEBY_LOD2_4907176;DEBY_LOD2_4907178;DEBY_LOD2_4907184;DEBY_LOD2_4907506;DEBY_LOD2_4907514;DEBY_LOD2_4908159;DEBY_LOD2_4959320;DEBY_LOD2_4959753;DEBY_LOD2_8573848
robust_exclusion,raw_lidar,val3dity_valid,attributes_plus_observation,175,ok,0.022857,16,DEBY_LOD2_108250120;DEBY_LOD2_108580336;DEBY_LOD2_42364607;DEBY_LOD2_42364665;DEBY_LOD2_4906965;DEBY_LOD2_4906967;DEBY_LOD2_4906980;DEBY_LOD2_4906998;DEBY_LOD2_4907176;DEBY_LOD2_4907178;DEBY_LOD2_4907184;DEBY_LOD2_4907506;DEBY_LOD2_4907514;DEBY_LOD2_4908159;DEBY_LOD2_4959753;DEBY_LOD2_8573848
robust_exclusion,raw_lidar,rf_rmse_lod22,attributes_only,175,ok,0.022857,9,DEBY_LOD2_108247350;DEBY_LOD2_42364665;DEBY_LOD2_4906982;DEBY_LOD2_4907171;DEBY_LOD2_4907172;DEBY_LOD2_4908165;DEBY_LOD2_4908354;DEBY_LOD2_4959320;DEBY_LOD2_4959324
robust_exclusion,raw_lidar,rf_rmse_lod22,observation_only,175,ok,0.022857,8,DEBY_LOD2_104583447;DEBY_LOD2_42364659;DEBY_LOD2_42364665;DEBY_LOD2_4906970;DEBY_LOD2_4907167;DEBY_LOD2_4907172;DEBY_LOD2_4908165;DEBY_LOD2_4959458
robust_exclusion,raw_lidar,rf_rmse_lod22,attributes_plus_observation,175,ok,0.022857,10,DEBY_LOD2_104583447;DEBY_LOD2_108247350;DEBY_LOD2_42364665;DEBY_LOD2_4906970;DEBY_LOD2_4906982;DEBY_LOD2_4907171;DEBY_LOD2_4908165;DEBY_LOD2_4908354;DEBY_LOD2_4959320;DEBY_LOD2_4959753
robust_exclusion,raw_lidar,rf_roof_planes,attributes_only,175,ok,0.022857,11,DEBY_LOD2_108580336;DEBY_LOD2_42364659;DEBY_LOD2_4906965;DEBY_LOD2_4906967;DEBY_LOD2_4906977;DEBY_LOD2_4906980;DEBY_LOD2_4907519;DEBY_LOD2_4959320;DEBY_LOD2_4959324;DEBY_LOD2_4959326;DEBY_LOD2_4959460
robust_exclusion,raw_lidar,rf_roof_planes,observation_only,175,ok,0.022857,9,DEBY_LOD2_108580336;DEBY_LOD2_4906965;DEBY_LOD2_4906967;DEBY_LOD2_4907180;DEBY_LOD2_4907519;DEBY_LOD2_4959320;DEBY_LOD2_4959326;DEBY_LOD2_4959460;DEBY_LOD2_60042
robust_exclusion,raw_lidar,rf_roof_planes,attributes_plus_observation,175,ok,0.022857,13,DEBY_LOD2_108580336;DEBY_LOD2_42364659;DEBY_LOD2_4906965;DEBY_LOD2_4906967;DEBY_LOD2_4906977;DEBY_LOD2_4906980;DEBY_LOD2_4906984;DEBY_LOD2_4907519;DEBY_LOD2_4959320;DEBY_LOD2_4959324;DEBY_LOD2_4959326;DEBY_LOD2_4959460;DEBY_LOD2_60042
robust_exclusion,raw_acmp,assembled,attributes_only,25,ok,0.160000,7,DEBY_LOD2_4907016;DEBY_LOD2_4907169;DEBY_LOD2_4907175;DEBY_LOD2_4907508;DEBY_LOD2_4908046;DEBY_LOD2_4908169;DEBY_LOD2_4908176
