source_run_id,setting,run_name,building_id,has_lod22,status_after,reason_after,original_valid,repaired_valid,original_error_codes,repaired_error_codes,removed_405,introduced_error_codes,cityjson,repaired_cityjson
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_108247349,False,failure,pointcloud_unusable_no_points,true,true,,,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_108247350,False,failure,pointcloud_unusable_no_points,true,true,,,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_108247351,False,failure,pointcloud_unusable_no_planes,true,true,,,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907184,True,success,success,true,true,,,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907185,True,success,success,true,true,,,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907186,True,success,success,true,true,,,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907188,True,failure,val3dity_invalid,false,false,302;302,302;302,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907194,True,failure,val3dity_invalid,false,false,302;302,302;302,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907195,True,success,success,true,true,,,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
e5p_s2p_interaction_20260710_C001,base,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4907198,True,success,success,true,true,,,false,,phases/p0-audit/runs/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
