input,building_id,status,reason,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,has_lod22,val3dity_valid,val3dity_errors
GS-sparse-r1,DEBY_LOD2_108247349,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,11.428572,0.930348,,0,False,True,[]
GS-sparse-r1,DEBY_LOD2_108247350,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.958333,,0,False,True,[]
GS-sparse-r1,DEBY_LOD2_108247351,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.000000,0.938462,,0,False,True,[]
GS-sparse-r1,DEBY_LOD2_4907184,failure,val3dity_invalid,True,standard,False,slanted,1115.458618,0.000000,0.951331,67,True,False,"[{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690852, 5.33609e+06, 565.103)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690852, 5.33609e+06, 565.103)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690857, 5.3361e+06, 565.001)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690856, 5.3361e+06, 565.147)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690856, 5.3361e+06, 571.786)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690856, 5.3361e+06, 564.475)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690856, 5.3361e+06, 564.47)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690856, 5.3361e+06, 571.747)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690857, 5.3361e+06, 571.665)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690857, 5.3361e+06, 564.377)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690852, 5.3361e+06, 559.075)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690856, 5.3361e+06, 559.075)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690851, 5.3361e+06, 559.075)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690847, 5.33609e+06, 559.075)""},{""code"":306,""description"":""SHELL_SELF_INTERSECTION"",""id"":""coid=DEBY_LOD2_4907184-0|geom=0|shell=0|face="",""info"":""Location close to: (690850, 5.33609e+06, 559.075)""}]"
GS-sparse-r1,DEBY_LOD2_4907185,success,success,True,standard,False,slanted,71.590698,0.666149,5.832468,15,True,True,[]
GS-sparse-r1,DEBY_LOD2_4907186,success,success,True,standard,False,slanted,31.942858,0.896142,0.541341,1,True,True,[]
GS-sparse-r1,DEBY_LOD2_4907188,failure,pointcloud_unusable_no_planes,True,skip,True,no planes,26.062500,0.903614,,0,False,True,[]
GS-sparse-r1,DEBY_LOD2_4907194,failure,pointcloud_unusable_no_points,True,skip,True,no points,4.857143,0.934195,,0,False,True,[]
GS-sparse-r1,DEBY_LOD2_4907195,success,success,True,standard,False,slanted,41.898991,0.860563,1.597581,3,True,True,[]
GS-sparse-r1,DEBY_LOD2_4907198,success,success,True,standard,False,slanted,51.501945,0.821280,3.615297,12,True,True,[]
