family,arm,replicate,run_name,building_id,pk_target,has_lod22,pred_direction_mode_count,ref_direction_mode_count,mode_count_delta,pred_mode_azimuths_deg,ref_mode_azimuths_deg,azimuth_min_abs_delta_deg,azimuth_within_25deg,mode_ge1_and_azimuth_within_25deg,pred_roof_face_count,ref_roof_face_count,pred_sloped_face_count,ref_sloped_face_count,mode_definition,cityjson
arm1p_base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4908168,false,true,0,1,-1,,332.1,,false,false,1,1,0,1,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
arm1p_base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4908178,false,true,0,2,-2,,158.7;338.7,,false,false,1,2,0,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
arm1p_base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_4908179,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
arm1p_base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_60098,true,true,1,2,-1,283.7,68.9;248.9,34.8000,false,false,1,2,1,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
arm1p_base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_8568391,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
arm1p_base,arm1p,r1,gs_e5_C001_s2p_arm1p_dense_r1,DEBY_LOD2_8568392,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r1_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_108247349,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_108247350,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_108247351,false,false,0,0,0,,,,false,false,0,1,0,0,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907184,false,true,4,4,0,61.4;158.8;249.6;338.6,67.4;157.6;247.4;337.6,1.0000,true,true,4,4,4,4,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
arm1p_base,arm1p,r2,gs_e5_C001_s2p_arm1p_dense_r2,DEBY_LOD2_4907185,true,true,1,2,-1,244.3,68.8;248.8,4.5000,true,true,5,2,4,2,3D roof normals; tilt>10deg; circular merge<=25deg; retain>=5% sloped area,phases/p0-audit/runs/e5p_s2p_405_repair_20260710_C001/e5p_s2p_interaction_20260710_C001/base/cityjson/gs_e5_C001_s2p_arm1p_dense_r2_run_1.city.json
