building_id,arm,clip_source,clip_path,clip_note,crs_xy,z_datum_history,footprint_area_m2,n_points_footprint,pt_density_m2,density_valid,density_reason,status_input,status_rf_pt_density,status_density_delta,grid_cell_m,grid_n_cells,grid_occupied_cells,coverage_frac,hole_frac,coverage_valid,coverage_reason,status_rf_nodata_frac,status_hole_delta,status_compare_note,roof_point_count,ground_point_count,local_plane_radius_m,local_plane_rms_m,local_plane_core_count,local_plane_valid,local_plane_reason,m3c2_normal_radius_m,m3c2_proj_radius_m,m3c2_core_count,m3c2_mean_m,m3c2_median_abs_m,m3c2_rms_m,m3c2_valid,m3c2_reason,ref_valid_345,ref_invalid_reason,ref_roof_surface_count,ref_lookup_miss_frac,floater_margin_m,floater_count,floater_frac,floater_valid,floater_reason,label_proxy_roof_minus_m,ground_high_count,label_proxy_frac_all,label_proxy_frac_ground,label_proxy_valid,label_proxy_reason,v1_clip_source,v1_m3c2_reason,v1_1_changed_axes,v1_1_change_reason,v1_1_height_constant_m,v1_1_height_constant_source,datum_shift_from_v1_m,source_laz_path,v1_2_changed_axes,v1_2_change_reason,v1_2_dense_fallback_shift_m,v1_2_shift_source,readout,v1_3_run_id,v1_3_source_status_csv
DEBY_LOD2_104583447,raw_dense,fallback_dim_footprint_clip,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,6.082100,122,20.058861,true,ok,DIM,36.666668,-16.607807,0.500000,24,12,0.500000,0.500000,true,ok,0.500000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,122,0,0.750000,0.044789,122,true,ok,1.000000,0.750000,73,0.065896,0.118693,0.119455,true,ok,true,none,1,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,none,true,ok_no_ground_points,missing_clip,missing_lidar_clip,clip_source;n_points_footprint;pt_density_m2;coverage_frac;hole_frac;roof_point_count;local_plane_rms_m;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;floater_frac;label_proxy_frac_all;density_reason;coverage_reason;m3c2_reason;floater_reason;label_proxy_reason,filled_missing_clip;datum_constant_v1_14_45p760;m3c2_recomputed_after_lidar_fill,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,45.934000,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,z_datum_history;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;m3c2_valid;floater_valid;label_proxy_frac_ground;label_proxy_valid,dense_fallback_height_frame_repaired_ref_dependent_axes,45.934000,W1_GCG2016_corrected_DIM_plus_W2_minus0p174_chain,,,
DEBY_LOD2_104583447,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,fused ACMP classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),6.082100,341,56.066161,true,ok,none,none,none,0.500000,24,22,0.916667,0.083333,true,ok,none,none,no_canonical_status_for_acmp,341,0,0.750000,0.254064,337,true,ok,1.000000,0.750000,92,-0.332431,0.162840,0.520720,true,ok,true,none,1,0.000000,3.000000,10,0.029326,true,ok,1.000000,0,0.000000,none,true,ok_no_ground_points,fallback_fused_acmp_footprint_clip,missing_lidar_clip,m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;m3c2_reason,datum_constant_v1_14_45p760;m3c2_recomputed_after_lidar_fill,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_104583447,raw_lidar,fallback_als_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,ALS classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),6.082100,115,18.907943,true,ok,ALS,17.333334,1.574609,0.500000,24,24,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,115,0,0.750000,0.204441,114,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,none,true,ok_no_ground_points,missing_clip,not_applicable_lidar_self,clip_source;n_points_footprint;pt_density_m2;coverage_frac;hole_frac;roof_point_count;local_plane_rms_m;floater_frac;label_proxy_frac_all;density_reason;coverage_reason;floater_reason;label_proxy_reason,filled_missing_clip;datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,0.000000,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_104583794,raw_dense,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_104583794_orig_classified.las,,EPSG:25832,existing mob_eval raw_dense clip; DIM ellipsoidal/local+604 history as-is; reference comparisons use v1.14_section_1.6_zeta_45.7_QA_45.760,6.387450,0,none,false,no_points,DIM,0.000000,none,0.500000,25,0,none,none,false,no_points,1.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points,existing_mob_eval_clip,insufficient_source_roof_points,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,0.000000,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_104583794_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_104583794,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_104583794_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",6.387450,1,0.156557,true,ok,none,none,none,0.500000,25,1,0.040000,0.960000,true,ok,none,none,no_canonical_status_for_acmp,0,1,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,1,1.000000,true,ok,1.000000,1,1.000000,1.000000,true,ok,existing_mob_eval_clip,insufficient_source_roof_points,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_104583794_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_104583794,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_104583794_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",6.387450,131,20.508967,true,ok,ALS,18.080000,2.428967,0.500000,25,25,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,108,23,0.750000,0.223805,105,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,1,0.007634,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,not_applicable_lidar_self,floater_frac,datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_104583794_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_104586480,raw_dense,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_104586480_orig_classified.las,,EPSG:25832,existing mob_eval raw_dense clip; DIM ellipsoidal/local+604 history as-is; reference comparisons use v1.14_section_1.6_zeta_45.7_QA_45.760,14.770800,5508,372.897880,true,ok,DIM,978.620667,-605.722787,0.500000,58,58,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,2347,3161,0.750000,0.151630,2347,true,ok,1.000000,0.750000,25,0.067507,0.060945,0.091272,true,ok,false,"104586480 material: ALS footprint interior is dominated by ground-label, ground-height points while DIM contains a higher structure component; date/reference/label alternatives are recorded as material only",1,0.000000,3.000000,1710,0.310458,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,ok,m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;floater_frac,datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,0.000000,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_104586480_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_104586480,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_104586480_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",14.770800,6711,454.342351,true,ok,none,none,none,0.500000,58,58,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,3804,2907,0.750000,0.099837,2997,true,ok,1.000000,0.750000,25,-0.220898,0.261534,0.254306,true,ok,false,"104586480 material: ALS footprint interior is dominated by ground-label, ground-height points while DIM contains a higher structure component; date/reference/label alternatives are recorded as material only",1,0.000000,3.000000,1299,0.193563,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,ok,floater_frac,datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_104586480_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_104586480,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_104586480_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",14.770800,175,11.847700,true,ok,ALS,10.827586,1.020114,0.500000,58,58,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,41,134,0.750000,0.136660,23,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,false,"104586480 material: ALS footprint interior is dominated by ground-label, ground-height points while DIM contains a higher structure component; date/reference/label alternatives are recorded as material only",1,0.000000,3.000000,19,0.108571,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,not_applicable_lidar_self,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_104586480_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_107802038,raw_dense,fallback_dim_footprint_clip,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,388.471650,0,none,false,no_points,DIM,0.000000,none,0.500000,1554,0,none,none,false,no_points,1.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points,missing_clip,insufficient_source_roof_points,clip_source;density_reason;coverage_reason,filled_missing_clip;datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,45.934000,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,z_datum_history,dense_fallback_height_history_repaired_no_points_metrics_unchanged,45.934000,W1_GCG2016_corrected_DIM_plus_W2_minus0p174_chain,,,
DEBY_LOD2_107802038,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_107802038_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",388.471650,75,0.193064,true,ok,none,none,none,0.500000,1554,71,0.045689,0.954311,true,ok,none,none,no_canonical_status_for_acmp,73,2,0.750000,none,0,false,insufficient_local_neighborhoods,1.000000,0.750000,none,none,none,none,false,insufficient_m3c2_neighborhoods,true,none,1,0.000000,3.000000,68,0.906667,true,ok,1.000000,1,0.013333,0.500000,true,ok,existing_mob_eval_clip,insufficient_m3c2_neighborhoods,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_107802038_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_107802038,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_107802038_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",388.471650,7010,18.045075,true,ok,ALS,17.390856,0.654219,0.500000,1554,1554,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,6962,48,0.750000,0.141489,2997,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,not_applicable_lidar_self,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_107802038_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_107807336,raw_dense,fallback_dim_footprint_clip,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,100.625850,0,none,false,no_points,DIM,0.000000,none,0.500000,403,0,none,none,false,no_points,1.000000,none,metric_none,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points,missing_clip,insufficient_source_roof_points,clip_source;density_reason;coverage_reason,filled_missing_clip;datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,45.934000,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,z_datum_history,dense_fallback_height_history_repaired_no_points_metrics_unchanged,45.934000,W1_GCG2016_corrected_DIM_plus_W2_minus0p174_chain,,,
DEBY_LOD2_107807336,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_107807336_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",100.625850,25,0.248445,true,ok,none,none,none,0.500000,403,22,0.054591,0.945409,true,ok,none,none,no_canonical_status_for_acmp,23,2,0.750000,none,0,false,insufficient_local_neighborhoods,1.000000,0.750000,none,none,none,none,false,insufficient_m3c2_neighborhoods,true,none,1,0.000000,3.000000,25,1.000000,true,ok,1.000000,2,0.080000,1.000000,true,ok,existing_mob_eval_clip,insufficient_m3c2_neighborhoods,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_107807336_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_107807336,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_107807336_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",100.625850,1816,18.047053,true,ok,ALS,17.293531,0.753522,0.500000,403,402,0.997519,0.002481,true,ok,0.002481,0.000000,direct_comparison_same_arm_metric_not_identical_grid,1708,108,0.750000,0.151071,1702,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,34,0.018722,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,not_applicable_lidar_self,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_107807336_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_108246888,raw_dense,fallback_dim_footprint_clip,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,13.961250,1350,96.696213,true,ok,DIM,85.886795,10.809418,0.500000,56,53,0.946429,0.053571,true,ok,0.053571,0.000000,direct_comparison_same_arm_metric_not_identical_grid,1293,57,0.750000,0.179162,1293,true,ok,1.000000,0.750000,232,0.024377,0.212579,0.341004,true,ok,true,none,4,0.000741,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok,missing_clip,insufficient_source_roof_points,clip_source;n_points_footprint;pt_density_m2;coverage_frac;hole_frac;roof_point_count;ground_point_count;local_plane_rms_m;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;floater_frac;label_proxy_frac_all;label_proxy_frac_ground;density_reason;coverage_reason;m3c2_reason;floater_reason;label_proxy_reason,filled_missing_clip;datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,45.934000,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,z_datum_history;m3c2_mean_m;m3c2_median_abs_m;m3c2_rms_m;m3c2_valid;floater_valid;label_proxy_valid,dense_fallback_height_frame_repaired_ref_dependent_axes,45.934000,W1_GCG2016_corrected_DIM_plus_W2_minus0p174_chain,,,
DEBY_LOD2_108246888,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,fused ACMP classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),13.961250,2914,208.720566,true,ok,none,none,none,0.500000,56,56,1.000000,0.000000,true,ok,none,none,no_canonical_status_for_acmp,2617,297,0.750000,0.194278,2617,true,ok,1.000000,0.750000,235,-2.089080,2.195668,2.201038,true,ok,true,none,4,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok,fallback_fused_acmp_footprint_clip,ok,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_108246888,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_108246888_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",13.961250,273,19.554123,true,ok,ALS,18.285715,1.268408,0.500000,56,56,1.000000,0.000000,true,ok,0.000000,0.000000,direct_comparison_same_arm_metric_not_identical_grid,238,35,0.750000,0.105120,233,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,4,0.000000,3.000000,1,0.003663,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,not_applicable_lidar_self,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_108246888_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_108247349,raw_dense,fallback_dim_footprint_clip,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,canonical Roofer DIM classified LAZ w2_1 input; W1 GCG2016-corrected dim_v1_classified_z.laz then W2 Z:=Z-0.174 m; v1.2 applies +45.934 m (=45.760+0.174) for v1.14_section_1.6_zeta_45.7_QA_45.760; EPSG:25832,101.102650,0,none,false,no_points,DIM,none,none,0.500000,402,0,none,none,false,no_points,none,none,status_numeric_parse_failed,0,0,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,0,none,false,no_points,1.000000,0,none,none,false,no_points,missing_clip,missing_lidar_clip,clip_source;density_reason;coverage_reason;m3c2_reason,filled_missing_clip;datum_constant_v1_14_45p760;m3c2_recomputed_after_lidar_fill,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,45.934000,phases/p0-audit/data/work/w2/dim_v1_classified_z_minus0p174.laz,z_datum_history,dense_fallback_height_history_repaired_no_points_metrics_unchanged,45.934000,W1_GCG2016_corrected_DIM_plus_W2_minus0p174_chain,,,
DEBY_LOD2_108247349,raw_acmp,fallback_fused_acmp_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,fused ACMP classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),101.102650,7,0.069237,true,ok,none,none,none,0.500000,402,5,0.012438,0.987562,true,ok,none,none,no_canonical_status_for_acmp,6,1,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,5,0.714286,true,ok,1.000000,1,0.142857,1.000000,true,ok,fallback_fused_acmp_footprint_clip,missing_lidar_clip,m3c2_reason,datum_constant_v1_14_45p760;m3c2_recomputed_after_lidar_fill,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,results/tum_transfer/mob_analysis/p0c_step2/acmp_classified.laz,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_108247349,raw_lidar,fallback_als_footprint_clip,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,non-persistent fallback footprint clip; no reconstruction or Roofer rerun,EPSG:25832,ALS classified LAZ orthometric +45.760 m (v1.14_section_1.6_zeta_45.7_QA_45.760),101.102650,2166,21.423771,true,ok,ALS,none,none,0.500000,402,402,1.000000,0.000000,true,ok,none,none,status_numeric_parse_failed,2165,1,0.750000,0.185911,2165,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,0,0.000000,true,ok,1.000000,0,0.000000,0.000000,true,ok,missing_clip,not_applicable_lidar_self,clip_source;n_points_footprint;pt_density_m2;coverage_frac;hole_frac;roof_point_count;ground_point_count;local_plane_rms_m;floater_frac;label_proxy_frac_all;label_proxy_frac_ground;density_reason;coverage_reason;floater_reason;label_proxy_reason,filled_missing_clip;datum_constant_v1_14_45p760,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,0.000000,results/tum_transfer/mob_analysis/p0c_step2/als_aoi.laz,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_108247350,raw_dense,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_108247350_orig_classified.las,,EPSG:25832,existing mob_eval raw_dense clip; DIM ellipsoidal/local+604 history as-is; reference comparisons use v1.14_section_1.6_zeta_45.7_QA_45.760,12.137050,13,1.071100,true,ok,DIM,9.142858,-8.071758,0.500000,48,6,0.125000,0.875000,true,ok,0.854167,0.020833,direct_comparison_same_arm_metric_not_identical_grid,0,13,0.750000,none,0,false,insufficient_roof_points,1.000000,0.750000,none,none,none,none,false,insufficient_source_roof_points,true,none,1,0.000000,3.000000,13,1.000000,true,ok,1.000000,13,1.000000,1.000000,true,ok,existing_mob_eval_clip,insufficient_source_roof_points,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,0.000000,phases/p0-audit/runs/mob_eval/raw_dense/DEBY_LOD2_108247350_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_108247350,raw_acmp,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_108247350_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",12.137050,114,9.392727,true,ok,none,none,none,0.500000,48,38,0.791667,0.208333,true,ok,none,none,no_canonical_status_for_acmp,114,0,0.750000,0.232974,96,true,ok,1.000000,0.750000,106,9.509199,13.099544,13.111461,true,ok,true,none,1,0.000000,3.000000,114,1.000000,true,ok,1.000000,0,0.000000,none,true,ok_no_ground_points,existing_mob_eval_clip,ok,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_acmp/DEBY_LOD2_108247350_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
DEBY_LOD2_108247350,raw_lidar,existing_mob_eval_clip,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_108247350_orig_classified.las,,EPSG:25832,"existing mob_eval ellip-unified clip; source history was orthometric +48.000 m, adjusted -2.240 m to v1.14_section_1.6_zeta_45.7_QA_45.760",12.137050,168,13.841914,true,ok,ALS,13.391304,0.450610,0.500000,48,46,0.958333,0.041667,true,ok,0.041667,-0.000000,direct_comparison_same_arm_metric_not_identical_grid,162,6,0.750000,0.171617,155,true,ok,1.000000,0.750000,none,none,none,none,false,not_applicable_lidar_self,true,none,1,0.000000,3.000000,17,0.101190,true,ok,1.000000,0,0.000000,0.000000,true,ok,existing_mob_eval_clip,not_applicable_lidar_self,none,datum_constant_v1_14_45p760;unchanged_numeric,45.760000,v1.14_section_1.6_zeta_45.7_QA_45.760,-2.240000,phases/p0-audit/runs/mob_eval/raw_lidar/DEBY_LOD2_108247350_orig_classified.las,none,unchanged_from_v1_1,none,none,,,
