stage_index,stage_id,stage_axis,nominal_sigma_m,nominal_retention,is_combination,building_id,population_scope,cell_label,small_lt50,ref_roof_type,ref_roof_slope_group,pilot10,seed_uint64,seed_formula,als_source_files,als_source_file_sha256,als_roof_evidence_payload_sha256,shared_source_point_count,overlap_owner_rule,source_point_count,retained_member_point_count,degraded_point_count,source_point_density_m2,retained_member_density_m2,degraded_point_density_m2,realized_retention_ratio,realized_inside_retention_ratio,realized_axis_noise_std_m,realized_xyz_displacement_rms_m,stage_input_path,stage_input_sha256,perturbation_scope,coordinate_operation_order,rf_success,rf_extrusion_mode,rf_pointcloud_unusable,rf_roof_type,rf_pt_density,rf_nodata_frac,rf_rmse_lod22,rf_roof_planes,rf_reconstruction_time_s,assembly_status,assembly_success,has_lod22,lod1_fallback,val3dity_valid,roof_face_count_model,roof_face_count_ref,face_count_ratio,roof_rms_m,roof_hausdorff_m,roof_distance_samples,roof_completeness,model_roof_xy_area_m2,reference_roof_xy_area_m2,roof_overlap_xy_area_m2,geometry_roof_surface_present,cityjson_path,cityjson_sha256,val3dity_report,assembly_artifact_reused,assembly_pipeline,crs,gt_role,learning_runs_started,new_inference_runs
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_104583447,canonical_raw_lidar_assembled_178,cell_1_assembled,true,slanted,sloped,false,18027703592368403898,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5336.laz,phases/p0-audit/data/raw/als/690_5336.laz=98ab7ad7f4c5108ebf41bc62186b336c6cd8a70b82fceec57136a56c0188b566,0f23150a812f4f18c6304d0274aac528c5280d17cf1d37bd3116f74d18a1ed8c,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",114,114,114,18.743526086,18.743526086,18.743526086,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,slanted,17.333333969,0.000000000,4.543334,2,0.009000000,lod22_geometry_present,true,true,false,true,1,1,1.000000000,0.121596355,0.232705081,24,0.999479150,6.082100000,6.082100000,6.078932140,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_104583794,canonical_raw_lidar_assembled_178,cell_3_outline_only,true,slanted,sloped,false,10572816211561561412,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5336.laz,phases/p0-audit/data/raw/als/690_5336.laz=98ab7ad7f4c5108ebf41bc62186b336c6cd8a70b82fceec57136a56c0188b566,ddd9ed64c158fe596c4f2dca2c4ee214d3e287dc790ff4b7c281e38a8b28ec6f,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",126,126,126,19.726181806,19.726181806,19.726181806,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,slanted,18.079999924,0.000000000,1.495927,3,0.014000000,lod22_geometry_present,true,true,false,true,1,1,1.000000000,0.125763944,0.137119018,25,0.999233036,6.383975499,6.387450001,6.382551057,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_104586480,canonical_raw_lidar_assembled_178,cell_2_anchored,true,horizontal,horizontal,false,6540521173897615178,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5335.laz,phases/p0-audit/data/raw/als/690_5335.laz=01602b7385aaf7324f89da6183df3dbdeffa237f85bf57dc27208b554b4fc0b3,84e69d907692c3b9d8ffd8e1959eb7bc66ba2ee2012297d737457d942f275b52,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",176,176,176,11.915400656,11.915400656,11.915400656,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,horizontal,10.827586174,0.000000000,4.346850,1,0.029000000,lod22_geometry_present,true,true,false,true,1,1,1.000000000,2.987680105,3.023363894,58,0.999961095,14.776205500,14.770800000,14.770225347,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_107802038,canonical_raw_lidar_assembled_178,cell_2_anchored,false,slanted,sloped,false,2615710548195248976,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5336.laz,phases/p0-audit/data/raw/als/690_5336.laz=98ab7ad7f4c5108ebf41bc62186b336c6cd8a70b82fceec57136a56c0188b566,576c612c712acc1f278a44ddf07b2ee6865f18fa43c005b448b1bd1fddf33101,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",7020,7020,7020,18.070816751,18.070816751,18.070816751,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,slanted,17.390855789,0.000000000,1.970426,4,0.207000000,lod22_geometry_present,true,true,false,true,2,1,2.000000000,0.107495131,0.894439397,1213,0.999900286,388.473344490,388.471650001,388.432913972,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_107807336,canonical_raw_lidar_assembled_178,cell_2_anchored,false,slanted,sloped,false,3774178588534741131,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5336.laz,phases/p0-audit/data/raw/als/690_5336.laz=98ab7ad7f4c5108ebf41bc62186b336c6cd8a70b82fceec57136a56c0188b566,6df7179dee2245b8d4d40eb16c7ad9e0535cd14b3c3e20bf84126f6f4d1715b7,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",1694,1694,1694,16.834640403,16.834640403,16.834640403,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,slanted,17.293531418,0.002481390,1.734635,5,0.108000000,lod22_geometry_present,true,true,false,true,1,1,1.000000000,1.005999657,1.006995454,403,0.999925316,100.646929500,100.625850000,100.618334838,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_108246888,canonical_raw_lidar_assembled_178,cell_1_assembled,true,slanted,sloped,false,8807287218695340873,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5335.laz,phases/p0-audit/data/raw/als/690_5335.laz=01602b7385aaf7324f89da6183df3dbdeffa237f85bf57dc27208b554b4fc0b3,b04d831270b3ece9fc3f9392719160e21ad5b972f98efdefa6c389922cf57852,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",273,273,273,19.554123018,19.554123018,19.554123018,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,slanted,18.285715103,0.000000000,1.161197,4,0.033000000,lod22_geometry_present,true,true,false,true,2,4,0.500000000,0.313565448,0.850024636,56,0.999834903,13.964891999,13.961235001,13.958930042,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_108247350,canonical_raw_lidar_assembled_178,cell_3_outline_only,true,horizontal,horizontal,false,7945482384906389778,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5336.laz,phases/p0-audit/data/raw/als/690_5336.laz=98ab7ad7f4c5108ebf41bc62186b336c6cd8a70b82fceec57136a56c0188b566,f349e7805cc8c2ebd37312d09cdd9f2fef182c817e8a94ceda677e6dcc5cb632,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",168,168,168,13.841913809,13.841913809,13.841913809,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,horizontal,13.391304016,0.041666668,4.064362,1,0.029000000,lod22_geometry_present,true,true,false,true,1,1,1.000000000,0.007333393,0.014964044,48,0.998615558,12.122119500,12.137050000,12.120246958,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_108247351,canonical_raw_lidar_assembled_178,cell_3_outline_only,false,slanted,sloped,false,9067879524165109447,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5336.laz,phases/p0-audit/data/raw/als/690_5336.laz=98ab7ad7f4c5108ebf41bc62186b336c6cd8a70b82fceec57136a56c0188b566,3d70f7432bdd7e17dd3aeed527514192ebb72129d97178d029cc7ac38a5e63dd,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",769,769,769,11.780295197,11.780295197,11.780295197,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,slanted,17.861537933,0.000000000,1.630903,5,0.074000000,lod22_geometry_present,true,true,false,true,2,1,2.000000000,1.052399290,2.994200443,262,0.999691281,65.269116501,65.278499998,65.258347269,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_108250120,canonical_raw_lidar_assembled_178,cell_1_assembled,true,slanted,sloped,false,12028922411888889933,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5336.laz,phases/p0-audit/data/raw/als/690_5336.laz=98ab7ad7f4c5108ebf41bc62186b336c6cd8a70b82fceec57136a56c0188b566;phases/p0-audit/data/raw/als/691_5336.laz=63c64002fc55d8b99a49749b5a2e36d802186186a950c89779463274e3cb950d,38a31fe74cd58aec27863fc100feddaa88dafc6be1047fedbf084384074e1867,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",740,740,740,15.805835985,15.805835985,15.805835985,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,slanted,15.413043022,0.021276595,2.662394,4,0.023000000,lod22_geometry_present,true,true,false,false,2,1,2.000000000,8.810386374,9.067000561,188,0.999807151,46.812106502,46.818149997,46.809121180,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
0,baseline,baseline,0.000000000,1.000000000,false,DEBY_LOD2_108580335,canonical_raw_lidar_assembled_178,cell_1_assembled,false,slanted,sloped,false,7914455701908075625,uint64_be_first8(sha256('jointbuildgs.degradation_curve.v3|{building_id}|{stage_index}')),phases/p0-audit/data/raw/als/691_5336.laz,phases/p0-audit/data/raw/als/691_5336.laz=63c64002fc55d8b99a49749b5a2e36d802186186a950c89779463274e3cb950d,e7c2d65093a420389ba60575d1934f79aca0894038426ededd3a53ac9e0e4204,0,"for a class-6 point inside multiple canonical roofprints, the lexicographically first building_id supplies the perturbation seed; the realized point count and residual are still measured for every containing building",11122,11122,11122,10.894625142,10.894625142,10.894625142,1.000000000,1.000000000,0.000000000,0.000000000,phases/p0-audit/data/raw/als/690_5335.laz;phases/p0-audit/data/raw/als/690_5336.laz;phases/p0-audit/data/raw/als/691_5335.laz;phases/p0-audit/data/raw/als/691_5336.laz,e56c6e4bbb71ed1a057a7b9b1957fb15e631087d6cf5d7a00dbcab50f6c3b5e9,class-6 points with pre-degradation XY inside a canonical roofprint; class-2 ground and all other context points held fixed,baseline; no coordinate or point-record change,true,standard,false,slanted,10.847724915,0.004408523,1.128500,23,0.306000000,lod22_geometry_present,true,true,false,true,15,9,1.666666667,0.714275423,5.295667936,2996,0.999986373,1020.885989507,1020.870369991,1020.856458329,true,phases/p0-audit/runs/w2_1_roofer_default_20260612_152729/cityjson/als_roofer.city.json,4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5,phases/p2-gsjso/runs/quality_score/20260718_qs_baseline178_rescore/val3dity/4bd411c8ac705049b7ada6f059ea9c9f9275400458929434450333a34d6c81c5.json,true,canonical accepted Roofer default zero-stage output,EPSG:25832,LoD2 reference used only for scoring,0,0
